name	asciiname	longitude	latitude	countryCode	population
Villa Elisa	Villa Elisa	-58.40082	-32.1632	AR	9334
Veinticinco de Mayo	Veinticinco de Mayo	-54.74312	-27.37679	AR	11928
Urdinarrain	Urdinarrain	-58.89323	-32.68573	AR	7992
Tigre	Tigre	-58.57962	-34.42603	AR	31106
Tandil	Tandil	-59.13316	-37.32167	AR	104325
San Vicente	San Vicente	-54.13333	-26.61667	AR	38247
Santo Tomé	Santo Tome	-56.04077	-28.54939	AR	22634
Santo Pipó	Santo Pipo	-55.40867	-27.14132	AR	5447
Santa Rosa	Santa Rosa	-58.11891	-28.26318	AR	8330
Santa Lucía	Santa Lucia	-59.10287	-28.98746	AR	14056
Santa Elena	Santa Elena	-59.78696	-30.94768	AR	18410
San Salvador	San Salvador	-58.50524	-31.62487	AR	11626
San Pedro	San Pedro	-54.10842	-26.62207	AR	23736
San Miguel	San Miguel	-57.58964	-27.99585	AR	7396
San Luis del Palmar	San Luis del Palmar	-58.55454	-27.5079	AR	15347
San Lorenzo	San Lorenzo	-58.76733	-28.13306	AR	47626
San José de Feliciano	San Jose de Feliciano	-58.75167	-30.38452	AR	11137
San José	San Jose	-55.7826	-27.76979	AR	6452
San Javier	San Javier	-59.9317	-30.57781	AR	15606
San Isidro	San Isidro	-58.52708	-34.4721	AR	45190
San Clemente del Tuyú	San Clemente del Tuyu	-56.72351	-36.35694	AR	11174
Saladas	Saladas	-58.62591	-28.25384	AR	18349
Rosario del Tala	Rosario del Tala	-59.14545	-32.30286	AR	13807
Retiro	Retiro	-58.38333	-34.58333	AR	38635
Resistencia	Resistencia	-58.98389	-27.46056	AR	387158
Reconquista	Reconquista	-59.65	-29.15	AR	90184
Quilmes	Quilmes	-58.26374	-34.72904	AR	518788
Puerto Vilelas	Puerto Vilelas	-58.93906	-27.51414	AR	8455
Puerto Tirol	Puerto Tirol	-59.08206	-27.37218	AR	9767
Puerto Rico	Puerto Rico	-55.02402	-26.79598	AR	17491
Puerto Piray	Puerto Piray	-54.71476	-26.46779	AR	8557
Puerto Libertad	Puerto Libertad	-54.62089	-25.91641	AR	6143
Puerto Iguazú	Puerto Iguazu	-54.57355	-25.59912	AR	32038
Puerto Esperanza	Puerto Esperanza	-54.67306	-26.01517	AR	15579
Puerto Eldorado	Puerto Eldorado	-54.69463	-26.40843	AR	54189
Presidencia de la Plaza	Presidencia de la Plaza	-59.84243	-27.00147	AR	12231
Posadas	Posadas	-55.89608	-27.36708	AR	323739
Pontevedra	Pontevedra	-58.70072	-34.74785	AR	33515
Pirané	Pirane	-59.10879	-25.73239	AR	19124
Perugorría	Perugorria	-58.61059	-29.34132	AR	5685
Paso de los Libres	Paso de los Libres	-57.08771	-29.71251	AR	43805
Paso de la Patria	Paso de la Patria	-58.57197	-27.31676	AR	5818
Panambí	Panambi	-54.91515	-27.72369	AR	5970
Pampa del Indio	Pampa del Indio	-59.91898	-26.06468	AR	11588
Palo Santo	Palo Santo	-59.33781	-25.56332	AR	5324
Oberá	Obera	-55.11994	-27.48706	AR	56528
Nuestra Señora del Rosario de Caa Catí	Nuestra Senora del Rosario de Caa Cati	-57.62073	-27.75072	AR	7573
Necochea	Necochea	-58.73961	-38.5545	AR	80478
Morón	Moron	-58.61956	-34.6509	AR	319934
Monte Caseros	Monte Caseros	-57.63626	-30.25359	AR	24671
Montecarlo	Montecarlo	-54.757	-26.5662	AR	22229
Mocoretá	Mocoreta	-57.96344	-30.61891	AR	6088
Mercedes	Mercedes	-59.43068	-34.65145	AR	52949
Mercedes	Mercedes	-58.07519	-29.18416	AR	30649
Mburucuyá	Mburucuya	-58.22835	-28.04532	AR	9012
Margarita Belén	Margarita Belen	-58.97219	-27.2616	AR	5547
Mar del Plata	Mar del Plata	-57.55754	-38.00228	AR	553935
Malabrigo	Malabrigo	-59.96957	-29.34636	AR	7026
Maciá	Macia	-59.39947	-32.1722	AR	5806
Luján	Lujan	-59.105	-34.57028	AR	81749
Las Toscas	Las Toscas	-59.25795	-28.3529	AR	11811
Larroque	Larroque	-59.00125	-33.03595	AR	6200
La Plata	La Plata	-57.95453	-34.92145	AR	694167
La Paz	La Paz	-59.64566	-30.74485	AR	24716
La Leonesa	La Leonesa	-58.70347	-27.03786	AR	10067
La Cruz	La Cruz	-56.64326	-29.17443	AR	8591
Jardín América	Jardin America	-55.22698	-27.04346	AR	24905
Itatí	Itati	-58.24458	-27.27043	AR	7902
Ibarreta	Ibarreta	-59.85851	-25.21438	AR	8687
Gualeguaychú	Gualeguaychu	-58.51722	-33.00937	AR	78676
Gualeguay	Gualeguay	-59.30966	-33.14156	AR	33120
Goya	Goya	-59.2651	-29.14395	AR	70245
Gobernador Roca	Gobernador Roca	-55.46433	-27.18636	AR	6315
Gobernador Ingeniero Valentín Virasoro	Gobernador Ingeniero Valentin Virasoro	-56.03333	-28.05	AR	28756
General José de San Martín	General Jose de San Martin	-59.34158	-26.53743	AR	31758
Garupá	Garupa	-55.82921	-27.48171	AR	28814
Garuhapé	Garuhape	-54.95665	-26.81768	AR	8259
Formosa	Formosa	-58.17814	-26.17753	AR	221383
Fontana	Fontana	-59.02392	-27.41813	AR	26745
Federal	Federal	-58.78326	-30.95465	AR	16333
Federación	Federacion	-57.89962	-31.00621	AR	13789
Esquina	Esquina	-59.52719	-30.01444	AR	26399
El Soberbio	El Soberbio	-54.19877	-27.29847	AR	19571
El Colorado	El Colorado	-59.37291	-26.30808	AR	12780
El Alcázar	El Alcazar	-54.81523	-26.71459	AR	5127
Dos de Mayo	Dos de Mayo	-54.68669	-27.02277	AR	14544
Dolores	Dolores	-57.67918	-36.31321	AR	25190
